FirstName                                          LastName                                           JobTitle                                           rate                  AverageRate           MaximumRate           DiffFromAvg           PercentOfMaxRate
Pat                                                Coleman                                            Janitor                                            9.25                  17.7588               125.50                -8.5088               7.37
Peter                                              Connelly                                           Network Administrator                              32.4519               17.7588               125.50                14.6931               25.85
Stephanie                                          Conroy                                             Network Manager                                    39.6635               17.7588               125.50                21.9047               31.60
Patrick                                            Cook                                               Production Technician - WC40                       15.00                 17.7588               125.50                -2.7588               11.95
Ryan                                               Cornelsen                                          Production Technician - WC40                       15.00                 17.7588               125.50                -2.7588               11.95
Ovidiu                                             Cracium                                            Senior Tool Designer                               28.8462               17.7588               125.50                11.0874               22.98
Jack                                               Creasey                                            Production Technician - WC40                       15.00                 17.7588               125.50                -2.7588               11.95
Grant                                              Culbertson                                         Human Resources Administrative Assistant           13.9423               17.7588               125.50                -3.8165               11.10
Barbara                                            Decker                                             Production Technician - WC20                       14.00                 17.7588               125.50                -3.7588               11.15
Mary                                               Dempsey                                            Marketing Assistant                                13.4615               17.7588               125.50                -4.2973               10.72
Thierry                                            D'Hers                                             Tool Designer                                      25.00                 17.7588               125.50                7.2412                19.92
Brenda                                             Diaz                                               Production Supervisor - WC40                       25.00                 17.7588               125.50                7.2412                19.92
JoLynn                                             Dobney                                             Production Supervisor - WC60                       25.00                 17.7588               125.50                7.2412                19.92
Reuben                                             D'sa                                               Production Supervisor - WC40                       25.00                 17.7588               125.50                7.2412                19.92
Ed                                                 Dudenhoefer                                        Production Technician - WC60                       12.45                 17.7588               125.50                -5.3088               9.92
Terri                                              Duffy                                              Vice President of Engineering                      63.4615               17.7588               125.50                45.7027               50.56
Maciej                                             Dusza                                              Production Technician - WC60                       12.45                 17.7588               125.50                -5.3088               9.92
Shelley                                            Dyck                                               Production Technician - WC20                       14.00                 17.7588               125.50                -3.7588               11.15
Terrence                                           Earls                                              Production Technician - WC20                       14.00                 17.7588               125.50                -3.7588               11.15
Susan                                              Eaton                                              Stocker                                            9.00                  17.7588               125.50                -8.7588               7.17
Ruth                                               Ellerbrock                                         Production Technician - WC10                       13.45                 17.7588               125.50                -4.3088               10.71
Terry                                              Eminhizer                                          Marketing Specialist                               14.4231               17.7588               125.50                -3.3357               11.49
Michael                                            Entin                                              Production Technician - WC50                       11.00                 17.7588               125.50                -6.7588               8.76
Gail                                               Erickson                                           Design Engineer                                    32.6923               17.7588               125.50                14.9335               26.04
Ebru                                               Ersan                                              Production Technician - WC10                       13.45                 17.7588               125.50                -4.3088               10.71
Janeth                                             Esteves                                            Production Technician - WC45                       10.00                 17.7588               125.50                -7.7588               7.96
John                                               Evans                                              Production Technician - WC50                       11.00                 17.7588               125.50                -6.7588               8.76
Fadi                                               Fakhouri                                           Production Technician - WC20                       14.00                 17.7588               125.50                -3.7588               11.15
Suroor                                             Fatima                                             Production Technician - WC50                       11.00                 17.7588               125.50                -6.7588               8.76
Hanying                                            Feng                                               Production Technician - WC20                       14.00                 17.7588               125.50                -3.7588               11.15
Charles                                            Fitzgerald                                         Production Technician - WC60                       12.45                 17.7588               125.50                -5.3088               9.92
Kathie                                             Flood                                              Production Technician - WC45                       10.00                 17.7588               125.50                -7.7588               7.96
Jeffrey                                            Ford                                               Production Technician - WC10                       13.45                 17.7588               125.50                -4.3088               10.71
Mihail                                             Frintu                                             Production Technician - WC40                       15.00                 17.7588               125.50                -2.7588               11.95
John                                               Frum                                               Production Technician - WC30                       6.50                  17.7588               125.50                -11.2588              5.17
John                                               Frum                                               Production Technician - WC30                       7.00                  17.7588               125.50                -10.7588              5.57
John                                               Frum                                               Production Technician - WC30                       9.50                  17.7588               125.50                -8.2588               7.56
Janice                                             Galvin                                             Tool Designer                                      25.00                 17.7588               125.50                7.2412                19.92
Mary                                               Gibson                                             Marketing Specialist                               14.4231               17.7588               125.50                -3.3357               11.49
Guy                                                Gilbert                                            Production Technician - WC60                       12.45                 17.7588               125.50                -5.3088               9.92
Diane                                              Glimp                                              Production Technician - WC10                       13.45                 17.7588               125.50                -4.3088               10.71
Scott                                              Gode                                               Production Technician - WC45                       10.00                 17.7588               125.50                -7.7588               7.96
Jossef                                             Goldberg                                           Design Engineer                                    32.6923               17.7588               125.50                14.9335               26.04
Brian                                              Goldstein                                          Production Technician - WC40                       15.00                 17.7588               125.50                -2.7588               11.95
Eric                                               Gubbels                                            Production Supervisor - WC20                       25.00                 17.7588               125.50                7.2412                19.92
Erin                                               Hagens                                             Buyer                                              18.2692               17.7588               125.50                0.5104                14.55
Don                                                Hall                                               Production Technician - WC50                       11.00                 17.7588               125.50                -6.7588               8.76
David                                              Hamilton                                           Production Supervisor - WC40                       25.00                 17.7588               125.50                7.2412                19.92
James                                              Hamilton                                           Vice President of Production                       84.1346               17.7588               125.50                66.3758               67.03
Sariya                                             Harnpadoungsataya                                  Marketing Specialist                               14.4231               17.7588               125.50                -3.3357               11.49
Mark                                               Harrington                                         Quality Assurance Technician                       10.5769               17.7588               125.50                -7.1819               8.42
Doris                                              Hartwig                                            Production Technician - WC10                       13.45                 17.7588               125.50                -4.3088               10.71
Jeff                                               Hay                                                Production Supervisor - WC45                       25.00                 17.7588               125.50                7.2412                19.92
Magnus                                             Hedlund                                            Facilities Administrative Assistant                9.75                  17.7588               125.50                -8.0088               7.76
Gordon                                             Hee                                                Buyer                                              18.2692               17.7588               125.50                0.5104                14.55
Brandon                                            Heidepriem                                         Production Technician - WC60                       12.45                 17.7588               125.50                -5.3088               9.92
Stefen                                             Hesse                                              Production Technician - WC20                       14.00                 17.7588               125.50                -3.7588               11.15
Sidney                                             Higa                                               Production Technician - WC10                       13.45                 17.7588               125.50                -4.3088               10.71
Andrew                                             Hill                                               Production Supervisor - WC10                       25.00                 17.7588               125.50                7.2412                19.92
Annette                                            Hill                                               Purchasing Assistant                               12.75                 17.7588               125.50                -5.0088               10.15
Christopher                                        Hill                                               Production Technician - WC10                       13.45                 17.7588               125.50                -4.3088               10.71
Reinout                                            Hillmann                                           Purchasing Assistant                               12.75                 17.7588               125.50                -5.0088               10.15
Michael                                            Hines                                              Production Technician - WC20                       14.00                 17.7588               125.50                -3.7588               11.15
Douglas                                            Hite                                               Production Technician - WC45                       10.00                 17.7588               125.50                -7.7588               7.96
Bob                                                Hohman                                             Production Technician - WC50                       11.00                 17.7588               125.50                -6.7588               8.76
Nicole                                             Holliday                                           Production Technician - WC40                       15.00                 17.7588               125.50                -2.7588               11.95
Kevin                                              Homer                                              Production Technician - WC10                       13.45                 17.7588               125.50                -4.3088               10.71
Russell                                            Hunter                                             Production Technician - WC50                       11.00                 17.7588               125.50                -6.7588               8.76
Marc                                               Ingle                                              Production Technician - WC30                       6.50                  17.7588               125.50                -11.2588              5.17
Marc                                               Ingle                                              Production Technician - WC30                       7.25                  17.7588               125.50                -10.5088              5.77
Marc                                               Ingle                                              Production Technician - WC30                       9.50                  17.7588               125.50                -8.2588               7.56
Shu                                                Ito                                                Sales Representative                               23.0769               17.7588               125.50                5.3181                18.38
Stephen                                            Jiang                                              North American Sales Manager                       48.101                17.7588               125.50                30.3422               38.32
Barry                                              Johnson                                            Production Technician - WC10                       13.45                 17.7588               125.50                -4.3088               10.71
David                                              Johnson                                            Production Technician - WC30                       6.50                  17.7588               125.50                -11.2588              5.17
David                                              Johnson                                            Production Technician - WC30                       7.25                  17.7588               125.50                -10.5088              5.77
David                                              Johnson                                            Production Technician - WC30                       9.50                  17.7588               125.50                -8.2588               7.56
Willis                                             Johnson                                            Recruiter                                          18.2692               17.7588               125.50                0.5104                14.55
Wendy                                              Kahn                                               Finance Manager                                    43.2692               17.7588               125.50                25.5104               34.47
Sandeep                                            Kaliyath                                           Production Technician - WC40                       15.00                 17.7588               125.50                -2.7588               11.95
John                                               Kane                                               Production Technician - WC10                       13.45                 17.7588               125.50                -4.3088               10.71
Lori                                               Kane                                               Production Supervisor - WC45                       25.00                 17.7588               125.50                7.2412                19.92
Bonnie                                             Kearney                                            Production Technician - WC10                       13.45                 17.7588               125.50                -4.3088               10.71
Kendall                                            Keil                                               Production Technician - WC50                       11.00                 17.7588               125.50                -6.7588               8.76
Elizabeth                                          Keyser                                             Production Technician - WC50                       11.00                 17.7588               125.50                -6.7588               8.76
Karan                                              Khanna                                             Production Technician - WC60                       12.45                 17.7588               125.50                -5.3088               9.92
Tengiz                                             Kharatishvili                                      Control Specialist                                 16.8269               17.7588               125.50                -0.9319               13.40
Shane                                              Kim                                                Production Supervisor - WC45                       25.00                 17.7588               125.50                7.2412                19.92
Russell                                            King                                               Production Technician - WC30                       6.50                  17.7588               125.50                -11.2588              5.17
Russell                                            King                                               Production Technician - WC30                       7.25                  17.7588               125.50                -10.5088              5.77
Russell                                            King                                               Production Technician - WC30                       9.50                  17.7588               125.50                -8.2588               7.56
Christian                                          Kleinerman                                         Maintenance Supervisor                             20.4327               17.7588               125.50                2.6739                16.28
Reed                                               Koch                                               Production Technician - WC30                       6.50                  17.7588               125.50                -11.2588              5.17
Reed                                               Koch                                               Production Technician - WC30                       7.25                  17.7588               125.50                -10.5088              5.77
Reed                                               Koch                                               Production Technician - WC30                       9.50                  17.7588               125.50                -8.2588               7.56
Kirk                                               Koenigsbauer                                       Production Technician - WC45                       10.00                 17.7588               125.50                -7.7588               7.96
Eugene                                             Kogan                                              Production Technician - WC60                       12.45                 17.7588               125.50                -5.3088               9.92
Paul                                               Komosinski                                         Production Technician - WC40                       15.00                 17.7588               125.50                -2.7588               11.95
James                                              Kramer                                             Production Technician - WC60                       12.45                 17.7588               125.50                -5.3088               9.92
Mindaugas                                          Krapauskas                                         Production Technician - WC50                       11.00                 17.7588               125.50                -6.7588               8.76
Peter                                              Krebs                                              Production Control Manager                         24.5192               17.7588               125.50                6.7604                19.53
Vamsi                                              Kuppa                                              Shipping and Receiving Clerk                       9.50                  17.7588               125.50                -8.2588               7.56
Eric                                               Kurjan                                             Buyer                                              18.2692               17.7588               125.50                0.5104                14.55
Brian                                              LaMee                                              Scheduling Assistant                               16.00                 17.7588               125.50                -1.7588               12.74
Rebecca                                            Laszlo                                             Production Technician - WC60                       12.45                 17.7588               125.50                -5.3088               9.92
David                                              Lawrence                                           Production Technician - WC30                       6.50                  17.7588               125.50                -11.2588              5.17
David                                              Lawrence                                           Production Technician - WC30                       7.25                  17.7588               125.50                -10.5088              5.77
David                                              Lawrence                                           Production Technician - WC30                       9.50                  17.7588               125.50                -8.2588               7.56
Frank                                              Lee                                                Production Technician - WC40                       15.00                 17.7588               125.50                -2.7588               11.95
Kitti                                              Lertpiriyasuwat                                    Production Technician - WC50                       11.00                 17.7588               125.50                -6.7588               8.76
George                                             Li                                                 Production Technician - WC30                       6.50                  17.7588               125.50                -11.2588              5.17
George                                             Li                                                 Production Technician - WC30                       7.25                  17.7588               125.50                -10.5088              5.77
George                                             Li                                                 Production Technician - WC30                       9.50                  17.7588               125.50                -8.2588               7.56
Yuhong                                             Li                                                 Production Supervisor - WC20                       25.00                 17.7588               125.50                7.2412                19.92
David                                              Liu                                                Accounts Manager                                   34.7356               17.7588               125.50                16.9768               27.67
Jinghao                                            Liu                                                Production Supervisor - WC50                       25.00                 17.7588               125.50                7.2412                19.92
Kevin                                              Liu                                                Production Technician - WC40                       15.00                 17.7588               125.50                -2.7588               11.95
Brian                                              Lloyd                                              Production Technician - WC40                       15.00                 17.7588               125.50                -2.7588               11.95
Kok-Ho                                             Loh                                                Production Supervisor - WC50                       25.00                 17.7588               125.50                7.2412                19.92
Jose                                               Lugo                                               Production Technician - WC60                       12.45                 17.7588               125.50                -5.3088               9.92
Vidur                                              Luthra                                             Recruiter                                          18.2692               17.7588               125.50                0.5104                14.55
Stuart                                             Macrae                                             Janitor                                            9.25                  17.7588               125.50                -8.5088               7.37
Pete                                               Male                                               Production Technician - WC50                       11.00                 17.7588               125.50                -6.7588               8.76
Gabe                                               Mares                                              Production Technician - WC40                       15.00                 17.7588               125.50                -2.7588               11.95
Diane                                              Margheim                                           Research and Development Engineer                  40.8654               17.7588               125.50                23.1066               32.56
Benjamin                                           Martin                                             Production Technician - WC30                       6.75                  17.7588               125.50                -11.0088              5.37
Benjamin                                           Martin                                             Production Technician - WC30                       7.25                  17.7588               125.50                -10.5088              5.77
Benjamin                                           Martin                                             Production Technician - WC30                       9.50                  17.7588               125.50                -8.2588               7.56
Mindy                                              Martin                                             Benefits Specialist                                16.5865               17.7588               125.50                -1.1723               13.21
Frank                                              Martinez                                           Production Technician - WC40                       15.00                 17.7588               125.50                -2.7588               11.95
Steve                                              Masters                                            Production Technician - WC60                       12.45                 17.7588               125.50                -5.3088               9.92
Gigi                                               Matthew                                            Research and Development Engineer                  40.8654               17.7588               125.50                23.1066               32.56
Taylor                                             Maxwell                                            Production Supervisor - WC50                       25.00                 17.7588               125.50                7.2412                19.92
Mark                                               McArthur                                           Production Technician - WC60                       12.45                 17.7588               125.50                -5.3088               9.92
Katie                                              McAskill-White                                     Production Supervisor - WC20                       25.00                 17.7588               125.50                7.2412                19.92
Alejandro                                          McGuel                                             Production Technician - WC40                       15.00                 17.7588               125.50                -2.7588               11.95
Yvonne                                             McKay                                              Production Technician - WC45                       10.00                 17.7588               125.50                -7.7588               7.96
Linda                                              Meisner                                            Buyer                                              18.2692               17.7588               125.50                0.5104                14.55
Tete                                               Mensa-Annan                                        Sales Representative                               23.0769               17.7588               125.50                5.3181                18.38
Susan                                              Metters                                            Production Technician - WC30                       9.50                  17.7588               125.50                -8.2588               7.56
Ramesh                                             Meyyappan                                          Application Specialist                             27.4038               17.7588               125.50                9.645                 21.83
Thomas                                             Michaels                                           Production Technician - WC60                       12.45                 17.7588               125.50                -5.3088               9.92
Jan                                                Miksovsky                                          Production Technician - WC30                       9.50                  17.7588               125.50                -8.2588               7.56
Ben                                                Miller                                             Buyer                                              18.2692               17.7588               125.50                0.5104                14.55
Dylan                                              Miller                                             Research and Development Manager                   50.4808               17.7588               125.50                32.722                40.22
Frank                                              Miller                                             Production Technician - WC50                       11.00                 17.7588               125.50                -6.7588               8.76
Nitin                                              Mirchandani                                        Production Technician - WC20                       14.00                 17.7588               125.50                -3.7588               11.15
Linda                                              Mitchell                                           Sales Representative                               23.0769               17.7588               125.50                5.3181                18.38
Shammi                                             Mohamed                                            Production Technician - WC40                       15.00                 17.7588               125.50                -2.7588               11.95
Suchitra                                           Mohan                                              Production Technician - WC60                       12.45                 17.7588               125.50                -5.3088               9.92
Barbara                                            Moreland                                           Accountant                                         26.4423               17.7588               125.50                8.6835                21.06
Linda                                              Moschell                                           Production Technician - WC50                       11.00                 17.7588               125.50                -6.7588               8.76
Zheng                                              Mu                                                 Production Supervisor - WC10                       25.00                 17.7588               125.50                7.2412                19.92
Stuart                                             Munson                                             Production Technician - WC45                       10.00                 17.7588               125.50                -7.7588               7.96
Ken                                                Myer                                               Production Technician - WC40                       15.00                 17.7588               125.50                -2.7588               11.95
Paula                                              Nartker                                            Production Technician - WC40                       15.00                 17.7588               125.50                -2.7588               11.95
Lorraine                                           Nay                                                Production Technician - WC40                       15.00                 17.7588               125.50                -2.7588               11.95
Alex                                               Nayberg                                            Production Technician - WC45                       10.00                 17.7588               125.50                -7.7588               7.96
Merav                                              Netz                                               Production Technician - WC30                       9.50                  17.7588               125.50                -8.2588               7.56
Belinda                                            Newman                                             Production Technician - WC45                       10.00                 17.7588               125.50                -7.7588               7.96
Chad                                               Niswonger                                          Production Technician - WC50                       11.00                 17.7588               125.50                -6.7588               8.76
Laura                                              Norman                                             Chief Financial Officer                            39.06                 17.7588               125.50                21.3012               31.12
Laura                                              Norman                                             Chief Financial Officer                            48.5577               17.7588               125.50                30.7989               38.69
Laura                                              Norman                                             Chief Financial Officer                            60.0962               17.7588               125.50                42.3374               47.88
Chris                                              Norred                                             Control Specialist                                 16.8269               17.7588               125.50                -0.9319               13.40
Fred                                               Northup                                            Production Technician - WC40                       15.00                 17.7588               125.50                -2.7588               11.95
Tawana                                             Nusbaum                                            Production Technician - WC40                       15.00                 17.7588               125.50                -2.7588               11.95
Fukiko                                             Ogisu                                              Buyer                                              18.2692               17.7588               125.50                0.5104                14.55
Chris                                              Okelberry                                          Production Technician - WC60                       12.45                 17.7588               125.50                -5.3088               9.92
David                                              Ortiz                                              Production Technician - WC60                       12.45                 17.7588               125.50                -5.3088               9.92
Michiko                                            Osada                                              Production Technician - WC30                       9.50                  17.7588               125.50                -8.2588               7.56
Jae                                                Pak                                                Sales Representative                               23.0769               17.7588               125.50                5.3181                18.38
Rajesh                                             Patel                                              Production Technician - WC40                       15.00                 17.7588               125.50                -2.7588               11.95
Michael                                            Patten                                             Production Technician - WC50                       11.00                 17.7588               125.50                -6.7588               8.76
Frank                                              Pellow                                             Buyer                                              18.2692               17.7588               125.50                0.5104                14.55
Lori                                               Penor                                              Janitor                                            9.25                  17.7588               125.50                -8.5088               7.37
Lionel                                             Penuchot                                           Production Technician - WC45                       10.00                 17.7588               125.50                -7.7588               7.96
Cristian                                           Petculescu                                         Production Supervisor - WC10                       25.00                 17.7588               125.50                7.2412                19.92
Carol                                              Philips                                            Production Technician - WC30                       9.50                  17.7588               125.50                -8.2588               7.56
Deborah                                            Poe                                                Accounts Receivable Specialist                     19.00                 17.7588               125.50                1.2412                15.13
Carole                                             Poland                                             Production Technician - WC30                       9.50                  17.7588               125.50                -8.2588               7.56
Houman                                             Pournasseh                                         Production Technician - WC50                       11.00                 17.7588               125.50                -6.7588               8.76
Chris                                              Preston                                            Production Technician - WC45                       10.00                 17.7588               125.50                -7.7588               7.96
Michael                                            Raheem                                             Research and Development Manager                   42.4808               17.7588               125.50                24.722                33.84
Kim                                                Ralls                                              Stocker                                            9.00                  17.7588               125.50                -8.7588               7.17
Cynthia                                            Randall                                            Production Supervisor - WC30                       25.00                 17.7588               125.50                7.2412                19.92
Linda                                              Randall                                            Production Technician - WC20                       14.00                 17.7588               125.50                -3.7588               11.15
Arvind                                             Rao                                                Buyer                                              18.2692               17.7588               125.50                0.5104                14.55
Simon                                              Rapier                                             Production Technician - WC60                       12.45                 17.7588               125.50                -5.3088               9.92
Michael                                            Ray                                                Production Supervisor - WC30                       25.00                 17.7588               125.50                7.2412                19.92
Sandra                                             Reátegui Alayo                                     Production Technician - WC30                       9.50                  17.7588               125.50                -8.2588               7.56
Randy                                              Reeves                                             Production Technician - WC60                       12.45                 17.7588               125.50                -5.3088               9.92
Tsvi                                               Reiter                                             Sales Representative                               23.0769               17.7588               125.50                5.3181                18.38
Bjorn                                              Rettig                                             Production Technician - WC30                       9.50                  17.7588               125.50                -8.2588               7.56
Jack                                               Richins                                            Production Supervisor - WC30                       25.00                 17.7588               125.50                7.2412                19.92
Michael                                            Rothkugel                                          Production Technician - WC40                       15.00                 17.7588               125.50                -2.7588               11.95
Robert                                             Rounthwaite                                        Production Technician - WC45                       10.00                 17.7588               125.50                -7.7588               7.96
Andy                                               Ruth                                               Production Technician - WC30                       9.50                  17.7588               125.50                -8.2588               7.56
Lane                                               Sacksteder                                         Production Technician - WC20                       14.00                 17.7588               125.50                -3.7588               11.15
Sharon                                             Salavaria                                          Design Engineer                                    32.6923               17.7588               125.50                14.9335               26.04
Ivo                                                Salmre                                             Production Technician - WC20                       14.00                 17.7588               125.50                -3.7588               11.15
Raymond                                            Sam                                                Production Technician - WC20                       14.00                 17.7588               125.50                -3.7588               11.15
Mandar                                             Samant                                             Production Technician - WC50                       11.00                 17.7588               125.50                -6.7588               8.76
Prasanna                                           Samarawickrama                                     Production Technician - WC20                       14.00                 17.7588               125.50                -3.7588               11.15
Ken                                                Sánchez                                            Chief Executive Officer                            125.50                17.7588               125.50                107.7412              100.00
Mikael                                             Sandberg                                           Buyer                                              18.2692               17.7588               125.50                0.5104                14.55
José                                               Saraiva                                            Sales Representative                               23.0769               17.7588               125.50                5.3181                18.38
Jim                                                Scardelis                                          Production Technician - WC50                       11.00                 17.7588               125.50                -6.7588               8.76
Mike                                               Seamans                                            Accountant                                         26.4423               17.7588               125.50                8.6835                21.06
Steven                                             Selikoff                                           Production Technician - WC30                       9.50                  17.7588               125.50                -8.2588               7.56
Rostislav                                          Shabalin                                           Production Technician - WC30                       9.50                  17.7588               125.50                -8.2588               7.56
Ashvini                                            Sharma                                             Network Administrator                              32.4519               17.7588               125.50                14.6931               25.85
Janet                                              Sheperdigian                                       Accounts Payable Specialist                        19.00                 17.7588               125.50                1.2412                15.13
Margie                                             Shoop                                              Production Technician - WC60                       12.45                 17.7588               125.50                -5.3088               9.92
Britta                                             Simon                                              Production Technician - WC60                       12.45                 17.7588               125.50                -5.3088               9.92
Paul                                               Singh                                              Production Technician - WC20                       14.00                 17.7588               125.50                -3.7588               11.15
Denise                                             Smith                                              Production Technician - WC50                       11.00                 17.7588               125.50                -6.7588               8.76
Samantha                                           Smith                                              Production Technician - WC20                       14.00                 17.7588               125.50                -3.7588               11.15
Lolan                                              Song                                               Production Technician - WC50                       11.00                 17.7588               125.50                -6.7588               8.76
Anibal                                             Sousa                                              Production Technician - WC20                       14.00                 17.7588               125.50                -3.7588               11.15
Candy                                              Spoon                                              Accounts Receivable Specialist                     19.00                 17.7588               125.50                1.2412                15.13
Betsy                                              Stadick                                            Production Technician - WC10                       13.45                 17.7588               125.50                -4.3088               10.71
Annik                                              Stahl                                              Production Technician - WC60                       12.45                 17.7588               125.50                -5.3088               9.92
Laura                                              Steele                                             Production Technician - WC45                       10.00                 17.7588               125.50                -7.7588               7.96
Min                                                Su                                                 Production Technician - WC20                       14.00                 17.7588               125.50                -3.7588               11.15
Michael                                            Sullivan                                           Senior Design Engineer                             36.0577               17.7588               125.50                18.2989               28.73
Krishna                                            Sunkammurali                                       Production Technician - WC20                       14.00                 17.7588               125.50                -3.7588               11.15
Roberto                                            Tamburello                                         Engineering Manager                                43.2692               17.7588               125.50                25.5104               34.47
Sameer                                             Tejani                                             Production Technician - WC50                       11.00                 17.7588               125.50                -6.7588               8.76
Diane                                              Tibbott                                            Production Technician - WC50                       11.00                 17.7588               125.50                -6.7588               8.76
Danielle                                           Tiedt                                              Production Technician - WC10                       13.45                 17.7588               125.50                -4.3088               10.71
Hung-Fu                                            Ting                                               Production Technician - WC20                       14.00                 17.7588               125.50                -3.7588               11.15
Dragan                                             Tomic                                              Accounts Payable Specialist                        19.00                 17.7588               125.50                1.2412                15.13
Jean                                               Trenary                                            Information Services Manager                       50.4808               17.7588               125.50                32.722                40.22
Lynn                                               Tsoflias                                           Sales Representative                               23.0769               17.7588               125.50                5.3181                18.38
Olinda                                             Turner                                             Production Technician - WC20                       14.00                 17.7588               125.50                -3.7588               11.15
Sairaj                                             Uddin                                              Scheduling Assistant                               16.00                 17.7588               125.50                -1.7588               12.74
Rachel                                             Valdez                                             Sales Representative                               23.0769               17.7588               125.50                5.3181                18.38
Sylvester                                          Valdez                                             Production Technician - WC20                       14.00                 17.7588               125.50                -3.7588               11.15
Tom                                                Vande Velde                                        Production Technician - WC10                       13.45                 17.7588               125.50                -4.3088               10.71
Michael                                            Vanderhyde                                         Production Technician - WC30                       9.50                  17.7588               125.50                -8.2588               7.56
Garrett                                            Vargas                                             Sales Representative                               23.0769               17.7588               125.50                5.3181                18.38
